Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Kilometers,Owner,State,Accidental,Car_Age,KM_Per_Year
Maruti Suzuki,Alto,Base,Hatchback,0,Diesel,119069,1,Tamil Nadu,0,6,19844.833333333332
Hyundai,Creta,Base,SUV,0,Diesel,22268,1,Uttar Pradesh,0,4,5567.0
Maruti Suzuki,Ertiga,L,MPV,0,Petrol,145608,1,Karnataka,0,9,16178.666666666666
Honda,Amaze,E,Sedan,1,Petrol,112145,2,Andhra Pradesh,0,13,8626.538461538461
Maruti Suzuki,WagonR,ZX,Hatchback,0,Petrol,129376,2,Karnataka,0,15,8625.066666666668
Maruti Suzuki,WagonR,ZX,Hatchback,0,Petrol,165845,1,Delhi,0,6,27640.833333333332
Maruti Suzuki,Dzire,V,Sedan,0,Petrol,72407,1,Karnataka,0,11,6582.454545454545
Honda,Amaze,VX,Sedan,1,Petrol,49996,1,Andhra Pradesh,0,11,4545.090909090909
Maruti Suzuki,Swift,L,Sedan,1,Petrol,92394,2,Madhya Pradesh,0,17,5434.941176470588
Honda,Jazz,S,Sedan,0,Petrol,42437,1,Odisha,0,13,3264.3846153846152
Toyota,Fortuner,ZX,SUV,0,Petrol,39483,2,Uttar Pradesh,0,8,4935.375
Ford,EcoSport,Titanium+,SUV,0,Petrol,175054,2,Gujarat,0,10,17505.4
Honda,WR-V,VX,SUV,0,Diesel,117071,1,Maharashtra,0,9,13007.888888888889
Renault,Duster,RXT,SUV,0,Diesel,77567,2,Karnataka,0,4,19391.75
Maruti Suzuki,Ertiga,V,MPV,0,Diesel,12100,1,Punjab,0,13,930.7692307692307
Volkswagen,Ameo,Highline+,Sedan,0,Diesel,129944,1,Uttar Pradesh,0,7,18563.428571428572
Maruti Suzuki,Celerio,ZX,Hatchback,0,Petrol,140108,1,Maharashtra,0,5,28021.6
Maruti Suzuki,Alto,Z,Hatchback,0,Petrol,152677,2,Gujarat,0,3,50892.333333333336
Volkswagen,Vento,GT,Sedan,0,Diesel,52208,1,Tamil Nadu,0,13,4016.0
Mahindra,Scorpio,W10,SUV,0,Petrol,179769,2,Andhra Pradesh,0,7,25681.285714285714
Maruti Suzuki,Ignis,ZX,Hatchback,0,Diesel,28187,1,Punjab,0,5,5637.4
Maruti Suzuki,Ertiga,Base,MPV,0,Petrol,67268,2,Delhi,0,9,7474.222222222223
Mahindra,Bolero,AX5,SUV,0,Diesel,83290,1,Gujarat,0,6,13881.666666666666
Honda,Jazz,VX,Sedan,0,Diesel,122542,1,Maharashtra,0,6,20423.666666666668
Kia,Sonet,HTX,SUV,1,Petrol,25389,1,Karnataka,0,6,4231.5
Mahindra,XUV500,W8,SUV,0,Petrol,64351,2,North East,0,10,6435.1
Maruti Suzuki,Baleno,V,Hatchback,0,CNG,108901,2,Tamil Nadu,0,11,9900.09090909091
Nissan,Micra,XL,Hatchback,0,Petrol,33915,2,Tamil Nadu,0,13,2608.846153846154
Renault,Kwid,RXL,Hatchback,0,Petrol,100328,1,Tamil Nadu,0,11,9120.727272727272
Maruti Suzuki,Swift,V,Sedan,1,Petrol,27350,1,Karnataka,0,6,4558.333333333333
Honda,City,VX,Sedan,1,Diesel,44310,1,Delhi,0,16,2769.375
Tata,Harrier,XZ,SUV,1,Electric,83889,2,Tamil Nadu,0,3,27963.0
Honda,Amaze,S,Sedan,0,CNG,78558,1,Andhra Pradesh,0,13,6042.923076923077
Maruti Suzuki,Celerio,Z,Hatchback,0,Diesel,46730,1,Maharashtra,0,6,7788.333333333333
Hyundai,Verna,SX,Sedan,0,Diesel,135922,2,Karnataka,0,16,8495.125
Maruti Suzuki,WagonR,Z,Hatchback,0,Petrol,152239,3,Madhya Pradesh,0,17,8955.235294117647
Ford,Endeavour,Ambiente,SUV,0,Petrol,13558,1,Delhi,0,6,2259.6666666666665
Ford,Figo,Titanium,Sedan,0,Petrol,109386,2,Karnataka,0,16,6836.625
Toyota,Innova,V,MPV,0,Petrol,68368,2,Maharashtra,0,17,4021.6470588235293
Maruti Suzuki,Alto,V,Hatchback,0,CNG,16498,2,Karnataka,1,11,1499.8181818181818
Tata,Altroz,XZA,Hatchback,0,Petrol,121199,2,Maharashtra,1,4,30299.75
Toyota,Etios,E,Sedan,0,Electric,134176,1,Chandigarh,0,8,16772.0
Hyundai,i20,Asta,Hatchback,0,Petrol,177386,2,Punjab,0,10,17738.6
Toyota,Urban Cruiser,ZX,SUV,0,Diesel,142496,1,Delhi,0,5,28499.2
Maruti Suzuki,S-Presso,L,Hatchback,0,Petrol,94724,1,Karnataka,0,5,18944.8
Tata,Tigor,XT,Sedan,0,Petrol,142609,2,Karnataka,0,5,28521.8
Audi,A4,Premium,Sedan,1,Petrol,113334,1,West Bengal,0,6,18889.0
Maruti Suzuki,Dzire,V,Sedan,0,CNG,20537,1,Gujarat,0,18,1140.9444444444443
Volkswagen,Taigun,Trendline,SUV,0,Petrol,147844,1,Tamil Nadu,0,5,29568.8
Maruti Suzuki,WagonR,L,Hatchback,0,Petrol,57403,1,Delhi,0,10,5740.3
Hyundai,Creta,Base,SUV,0,Diesel,162146,1,Haryana,0,4,40536.5
Maruti Suzuki,Dzire,Z,Sedan,1,Diesel,161832,3,Jharkhand,0,12,13486.0
Maruti Suzuki,Baleno,L,Hatchback,0,Petrol,14261,1,Maharashtra,0,10,1426.1
Maruti Suzuki,S-Presso,ZX,Hatchback,0,Diesel,110261,1,Puducherry,0,7,15751.57142857143
Maruti Suzuki,S-Presso,Base,Hatchback,0,CNG,24922,1,West Bengal,0,5,4984.4
Renault,Triber,RXE,MPV,1,Diesel,100786,2,Tamil Nadu,0,3,33595.333333333336
BMW,3 Series,Sport,Luxury,1,Petrol,108680,2,Telangana,0,13,8360.0
Maruti Suzuki,Swift,L,Sedan,1,Electric,177644,1,Gujarat,0,4,44411.0
Mahindra,Thar,W4,SUV,0,Petrol,165202,1,Karnataka,0,11,15018.363636363636
Maruti Suzuki,Alto,L,Hatchback,0,Petrol,43132,2,Tamil Nadu,0,21,2053.904761904762
Maruti Suzuki,Swift,V,Sedan,0,Diesel,108924,1,Delhi,0,7,15560.57142857143
Maruti Suzuki,S-Presso,Z,Hatchback,0,Petrol,29637,1,Karnataka,0,6,4939.5
Toyota,Fortuner,ZX,SUV,0,Petrol,37158,1,Rajasthan,0,13,2858.3076923076924
Maruti Suzuki,WagonR,V,Hatchback,0,Petrol,28121,1,Andhra Pradesh,0,22,1278.2272727272727
Maruti Suzuki,Ertiga,V,MPV,0,Petrol,134843,1,Kerala,0,10,13484.3
Mahindra,TUV300,W8,SUV,0,Petrol,15423,1,Haryana,0,6,2570.5
Tata,Altroz,XZA+,Hatchback,0,Petrol,63365,2,Karnataka,0,4,15841.25
Maruti Suzuki,Swift,Z,Sedan,1,Petrol,162638,2,Maharashtra,1,17,9566.941176470587
Maruti Suzuki,Ignis,L,Hatchback,0,Electric,178664,1,Delhi,0,7,25523.428571428572
Tata,Harrier,XZA+,SUV,0,Petrol,48210,2,Delhi,0,6,8035.0
