Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Year,Kilometers,Owner,State,Accidental,Car_Age,KM_Per_Year,Price
Mahindra,TUV300,AX5,SUV,Manual,CNG,2017,164654,1st,Rajasthan,No,9,18294.88888888889,547253
Skoda,Rapid,Style,Sedan,Manual,Petrol,2018,41351,1st,Maharashtra,No,8,5168.875,512050
Maruti Suzuki,Alto,Z,Hatchback,Manual,Diesel,2002,119090,3rd+,Tamil Nadu,No,24,4962.083333333333,678923
Hyundai,Grand i10,Magna,Hatchback,Manual,Diesel,2013,19979,1st,Andhra Pradesh,No,13,1536.8461538461538,522500
Mahindra,XUV500,W8,SUV,Manual,Petrol,2011,130591,3rd+,Bihar,No,15,8706.066666666668,401182
Maruti Suzuki,Dzire,Base,Sedan,Manual,Diesel,2019,71192,1st,Uttar Pradesh,No,7,10170.285714285714,219848
MG,Hector,Smart,SUV,Manual,CNG,2023,61255,2nd,Maharashtra,No,3,20418.333333333332,1092070
Maruti Suzuki,Baleno,L,Hatchback,Manual,Diesel,2017,55072,1st,Gujarat,No,9,6119.111111111111,643104
Maruti Suzuki,Ignis,L,Hatchback,Manual,Electric,2022,130490,1st,Bihar,No,4,32622.5,1128600
Maruti Suzuki,Swift,V,Sedan,Automatic,Petrol,2018,103459,1st,Gujarat,No,8,12932.375,181046
Maruti Suzuki,Ertiga,Z,MPV,Manual,Diesel,2023,121723,2nd,West Bengal,No,3,40574.333333333336,1448370
Maruti Suzuki,Alto,V,Hatchback,Automatic,Petrol,2022,85557,1st,Tamil Nadu,No,4,21389.25,631620
Audi,A6,Technology,Sedan,Manual,Petrol,2023,158217,2nd,Tamil Nadu,No,3,52739.0,344850
Toyota,Urban Cruiser,E,SUV,Manual,CNG,2021,61128,2nd,Kerala,No,5,12225.6,652951
Honda,City,V,Sedan,Manual,Petrol,2019,56808,2nd,Gujarat,No,7,8115.428571428572,1008065
Hyundai,Verna,Base,Sedan,Automatic,Diesel,2018,138237,1st,Maharashtra,No,8,17279.625,724185
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Petrol,2023,77112,2nd,Madhya Pradesh,No,3,25704.0,1381908
Honda,Jazz,V,Sedan,Manual,Diesel,2017,160862,2nd,Maharashtra,No,9,17873.555555555555,531069
Honda,Brio,E,Hatchback,Manual,Petrol,2018,93897,2nd,Tamil Nadu,No,8,11737.125,766365
Tata,Harrier,XZA+,SUV,Automatic,Petrol,2023,79179,2nd,Haryana,No,3,26393.0,588038
Hyundai,Venue,Magna,SUV,Manual,Diesel,2022,154045,1st,Tamil Nadu,No,4,38511.25,259875
Ford,Aspire,Trend+,Sedan,Manual,Petrol,2015,144399,1st,Telangana,No,11,13127.181818181818,274312
Maruti Suzuki,Celerio,L,Hatchback,Automatic,Petrol,2020,40821,2nd,Tamil Nadu,No,6,6803.5,715545
Toyota,Urban Cruiser,G,SUV,Manual,Petrol,2022,177372,1st,Gujarat,No,4,44343.0,1386000
Mahindra,XUV500,AX3,SUV,Automatic,Hybrid,2018,80372,1st,Gujarat,No,8,10046.5,649936
Maruti Suzuki,Dzire,Z,Sedan,Manual,Diesel,2020,146824,2nd,Maharashtra,No,6,24470.666666666668,1086277
Chevrolet,Tavera,LTZ,MPV,Manual,Petrol,2009,29252,1st,Maharashtra,No,17,1720.7058823529412,665500
Toyota,Innova,VX,MPV,Automatic,Diesel,2015,22818,1st,Telangana,Yes,11,2074.3636363636365,510404
Tata,Altroz,XT,Hatchback,Manual,Petrol,2020,43007,1st,Maharashtra,No,6,7167.833333333333,770000
Maruti Suzuki,WagonR,L,Hatchback,Manual,CNG,2022,50262,1st,Tamil Nadu,No,4,12565.5,1571011
Hyundai,Aura,Magna,Sedan,Manual,Petrol,2022,41595,1st,Uttar Pradesh,No,4,10398.75,1083000
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Petrol,2015,81075,2nd,Gujarat,No,11,7370.454545454545,412658
Hyundai,Verna,SX,Sedan,Manual,Petrol,2011,56963,1st,Maharashtra,No,15,3797.5333333333333,550035
Hyundai,Creta,Magna,SUV,Automatic,Petrol,2015,156616,2nd,Delhi,No,11,14237.818181818182,528273
Maruti Suzuki,Baleno,L,Hatchback,Manual,CNG,2018,144095,1st,Maharashtra,No,8,18011.875,895356
Ford,Figo,Trend,Sedan,Manual,Diesel,2015,154823,1st,Maharashtra,No,11,14074.818181818182,493762
BMW,5 Series,Sport,Luxury,Manual,Petrol,2020,31389,1st,West Bengal,No,6,5231.5,2299000
Maruti Suzuki,Dzire,L,Sedan,Automatic,Diesel,2016,136997,1st,Gujarat,No,10,13699.7,579348
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Petrol,2022,16484,1st,Gujarat,No,4,4121.0,2019600
Maruti Suzuki,Alto,L,Hatchback,Manual,Petrol,2005,43132,2nd,Tamil Nadu,No,21,2053.904761904762,613324
Tata,Altroz,XE,Hatchback,Manual,Petrol,2023,178219,1st,Maharashtra,No,3,59406.333333333336,247500
Volkswagen,Ameo,Trendline,Sedan,Manual,Diesel,2020,106581,1st,Tamil Nadu,No,6,17763.5,1018875
Hyundai,Verna,SX,Sedan,Manual,Petrol,2011,56187,2nd,Telangana,No,15,3745.8,792051
Jaguar,XE,Prestige,Sedan,Manual,Petrol,2021,69039,1st,Maharashtra,No,5,13807.8,909150
Tata,Nexon,XE,SUV,Automatic,Petrol,2017,55726,2nd,Punjab,No,9,6191.777777777777,646842
Toyota,Urban Cruiser,G+,SUV,Manual,Diesel,2021,46267,2nd,Uttar Pradesh,Yes,5,9253.4,488348
Honda,Brio,VX,Hatchback,Manual,Hybrid,2019,112576,2nd,Rajasthan,No,7,16082.285714285714,875605
Hyundai,Creta,Asta,SUV,Automatic,Electric,2020,11067,1st,Telangana,No,6,1844.5,2096325
Mahindra,TUV300,AX5,SUV,Manual,Diesel,2020,32475,1st,Rajasthan,No,6,5412.5,798000
Honda,City,VX,Sedan,Manual,Petrol,2022,109965,1st,Gujarat,No,4,27491.25,313500
Maruti Suzuki,Celerio,ZX,Hatchback,Manual,Diesel,2023,158005,2nd,Maharashtra,No,3,52668.333333333336,784080
Volkswagen,Vento,GT,Sedan,Manual,Hybrid,2022,12104,1st,North East,No,4,3026.0,852862
Renault,Kwid,RXE,Hatchback,Manual,Petrol,2017,117087,2nd,Maharashtra,No,9,13009.666666666666,1016400
Ford,Aspire,Ambiente,Sedan,Manual,Petrol,2018,84985,1st,Karnataka,No,8,10623.125,636405
Toyota,Urban Cruiser,E,SUV,Manual,Petrol,2022,108368,1st,Madhya Pradesh,No,4,27092.0,1421437
Hyundai,i20,Magna,Hatchback,Automatic,Petrol,2015,165099,1st,Jharkhand,No,11,15009.0,713212
Maruti Suzuki,Swift,L,Sedan,Manual,Petrol,2018,49985,1st,Uttar Pradesh,No,8,6248.125,181944
Honda,WR-V,S,SUV,Manual,Petrol,2018,58511,1st,Tamil Nadu,No,8,7313.875,1055092
Hyundai,Venue,Asta,SUV,Manual,Petrol,2022,79908,1st,Tamil Nadu,No,4,19977.0,1708245
Maruti Suzuki,Ertiga,L,MPV,Automatic,Petrol,2012,147686,2nd,Delhi,No,14,10549.0,379494
Maruti Suzuki,Baleno,Base,Hatchback,Manual,Diesel,2020,127935,1st,Maharashtra,No,6,21322.5,742500
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Petrol,2017,48184,2nd,Telangana,No,9,5353.777777777777,338800
Honda,Brio,V,Hatchback,Automatic,Diesel,2014,33052,1st,Maharashtra,No,12,2754.3333333333335,665500
Maruti Suzuki,Ignis,V,Hatchback,Manual,CNG,2023,39505,1st,Rajasthan,No,3,13168.333333333334,1263500
Ford,Aspire,Titanium+,Sedan,Manual,Diesel,2015,27208,1st,Maharashtra,No,11,2473.4545454545455,438900
Maruti Suzuki,Dzire,L,Sedan,Automatic,Petrol,2022,143042,2nd,Karnataka,Yes,4,35760.5,588698
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Electric,2019,41799,1st,West Bengal,Yes,7,5971.285714285715,216693
Volkswagen,Vento,GT,Sedan,Manual,Diesel,2014,178918,2nd,Maharashtra,No,12,14909.833333333334,227601
Tata,Tiago,XM,Hatchback,Manual,Petrol,2021,129217,2nd,Uttar Pradesh,No,5,25843.4,1191300
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Petrol,2020,53312,1st,Karnataka,No,6,8885.333333333334,1240272
Hyundai,Aura,Magna,Sedan,Manual,Diesel,2021,89456,1st,Maharashtra,No,5,17891.2,909150
Hyundai,Verna,Era,Sedan,Manual,Petrol,2021,123712,1st,West Bengal,No,5,24742.4,1254000
Honda,Jazz,VX,Sedan,Manual,Petrol,2015,52891,2nd,Gujarat,No,11,4808.272727272727,952061
Renault,Kiger,RXZ,SUV,Manual,Petrol,2022,18474,1st,Delhi,No,4,4618.5,1501500
Honda,WR-V,ZX,SUV,Manual,CNG,2020,54276,1st,Maharashtra,No,6,9046.0,824780
Maruti Suzuki,Alto,ZX,Hatchback,Manual,Petrol,2021,64454,1st,Punjab,Yes,5,12890.8,230995
Ford,EcoSport,Trend+,SUV,Manual,Petrol,2016,23787,2nd,Gujarat,No,10,2378.7,426888
Kia,Sonet,GTX,SUV,Manual,Petrol,2020,164428,1st,Delhi,No,6,27404.666666666668,1472625
Hyundai,Aura,Asta,Sedan,Manual,Diesel,2020,88747,1st,Delhi,No,6,14791.166666666666,1454640
Hyundai,Verna,Base,Sedan,Manual,Petrol,2013,150189,2nd,Maharashtra,No,13,11553.0,189667
Tata,Tigor,XZA+,Sedan,Manual,Petrol,2023,167664,2nd,Tamil Nadu,No,3,55888.0,1241460
Tata,Tigor,XM,Sedan,Manual,Diesel,2021,100047,1st,Madhya Pradesh,No,5,20009.4,1353750
Maruti Suzuki,Dzire,V,Sedan,Manual,Diesel,2010,22148,1st,Telangana,No,16,1384.25,862125
Ford,Aspire,Ambiente,Sedan,Manual,Diesel,2015,73502,2nd,Tamil Nadu,No,11,6682.0,1008065
Maruti Suzuki,WagonR,Z,Hatchback,Manual,Petrol,2011,113252,3rd+,Maharashtra,No,15,7550.133333333333,142931
Hyundai,Verna,Era,Sedan,Manual,Petrol,2018,150432,1st,Madhya Pradesh,No,8,18804.0,142143
Maruti Suzuki,Dzire,V,Sedan,Manual,Diesel,2017,173661,1st,Maharashtra,No,9,19295.666666666668,1042387
Volkswagen,Vento,Comfortline,Sedan,Manual,Petrol,2013,91262,2nd,Maharashtra,No,13,7020.153846153846,132008
Mahindra,TUV300,W8,SUV,Manual,Diesel,2015,43776,1st,Maharashtra,No,11,3979.6363636363635,889350
