Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Kilometers,Owner,State,Accidental,Car_Age,KM_Per_Year,Price,Predicted_Price_INR,Is_Fraudulent_Deviance,fraud_score,is_anomaly,price_deviation_pct
Maruti Suzuki,Alto,L,Hatchback,0,Petrol,170131,1,Punjab,0,5,34026.2,889200,808719.75,0,6.96609363132284,0,9.9515623304612
Honda,Jazz,S,Sedan,0,Petrol,76631,2,Punjab,0,14,5473.642857142857,114007,431284.38,0,35.0,0,-73.5657012846802
Maruti Suzuki,Alto,V,Hatchback,0,Petrol,14983,2,Maharashtra,0,17,881.3529411764706,745360,576464.8,0,20.50890682074372,0,29.298438315348175
Mahindra,Scorpio,W10,SUV,0,Petrol,54336,2,Gujarat,0,17,3196.235294117647,389077,550868.7,0,20.559197467545292,0,-29.370282096493277
Honda,WR-V,VX,SUV,1,Petrol,102016,2,Karnataka,0,7,14573.714285714286,645668,676865.06,0,3.2263363792690956,0,-4.609051970384423
Maruti Suzuki,Swift,ZX,Sedan,0,Petrol,107527,3,Maharashtra,0,20,5376.35,698321,406305.28,0,35.0,0,71.87101232147718
BMW,X1,M Sport,Luxury,0,Petrol,40568,2,Maharashtra,0,11,3688.0,1192576,836076.8,0,29.84766800359028,0,42.639525719414685
Honda,Amaze,S,Sedan,1,Diesel,14561,1,Maharashtra,0,9,1617.888888888889,482790,943964.25,0,34.198538239133526,0,-48.85505462733361
MG,ZS EV,Sharp,Luxury,1,Petrol,13981,1,Tamil Nadu,0,3,4660.333333333333,2262700,1.887228e+06,1,78.92679633833326,1,19.895423340476086
Honda,Brio,V,Hatchback,0,Petrol,143978,2,Tamil Nadu,0,7,20568.285714285717,355740,569497.44,0,26.27407893297149,0,-37.53439847567356
Toyota,Fortuner,ZX,SUV,0,Petrol,65679,2,Karnataka,0,11,5970.818181818182,601655,785740.94,0,16.399827233133056,0,-23.42832461876151
Honda,Brio,V,Hatchback,0,Diesel,10119,2,Telangana,1,14,722.7857142857143,606991,417105.2,0,31.867277783496757,0,45.524682547852514
MG,Hector,Super,SUV,0,Petrol,15606,1,Karnataka,0,5,3121.2,924000,1.3830676e+06,0,23.23439083464917,0,-33.191986906641674
Nissan,Terrano,XL,SUV,0,Petrol,134586,1,West Bengal,0,10,13458.6,181912,700621.25,0,35.0,0,-74.0356148204183
Hyundai,i10,Asta,Hatchback,0,Diesel,127997,3,Karnataka,0,15,8533.133333333333,442406,380357.7,0,11.419203601609865,0,16.31314800229981
Kia,Carens,GTX+,MPV,0,Diesel,72253,1,Karnataka,0,3,24084.33333333333,382800,1.078208e+06,0,35.0,0,-64.4966462871728
Maruti Suzuki,WagonR,ZX,Hatchback,0,Petrol,171676,2,Gujarat,0,4,42919.0,1568160,933286.4,0,35.0,0,68.02559664497406
Tata,Altroz,XE,Hatchback,0,Petrol,176908,1,Tamil Nadu,0,6,29484.666666666668,1485000,1.00030306e+06,0,33.91850619771545,0,48.45500885387922
Maruti Suzuki,Ignis,V,Hatchback,0,Petrol,94563,2,West Bengal,0,9,10507.0,766365,681130.3,0,8.759598590027514,0,12.513712271467877
Maruti Suzuki,WagonR,Base,Hatchback,0,Petrol,127642,3,Maharashtra,0,20,6382.1,442406,377671.9,0,11.998209259177587,0,17.140298941682268
Nissan,Terrano,XE,SUV,0,Petrol,95042,2,Tamil Nadu,0,7,13577.42857142857,866582,756010.75,0,10.237933124628189,0,14.625618749468842
Maruti Suzuki,Ertiga,Z,MPV,0,Petrol,148026,2,Maharashtra,0,4,37006.5,1143450,893289.8,0,19.60305925351634,0,28.0043703621662
Honda,WR-V,ZX,SUV,0,Petrol,139789,1,Kerala,0,8,17473.625,791815,658752.8,0,14.139375116519899,0,20.199107309314144
Tata,Tigor,XE,Sedan,0,Petrol,75477,2,Karnataka,0,8,9434.625,896058,694192.75,0,20.35539480929468,0,29.079135441849544
Jaguar,XE,Portfolio,Sedan,1,Petrol,25337,1,Delhi,0,6,4222.833333333333,2184050,1.300003e+06,1,60.0,1,68.00345845355741
