iter	RMSE
0	432785.131
1	422981.4657
2	414602.6736
3	407395.0054
4	401195.7952
5	396024.1433
6	391462.8932
7	387622.1364
8	384363.9229
9	381559.3688
10	379230.2395
11	377346.5025
12	375587.7927
13	374124.0408
14	372848.9212
15	371739.0792
16	370753.5509
17	369896.3374
18	369148.2177
19	368532.6258
20	367954.0936
21	367470.3465
22	367081.8855
23	366719.8844
24	366427.2969
25	366129.1782
26	365862.7269
27	365636.2754
28	365421.9074
29	365229.2324
30	365062.2184
31	364886.8959
32	364738.2624
33	364592.3786
34	364467.1979
35	364357.7663
36	364247.7417
37	364145.172
38	364045.184
39	363964.624
40	363876.7102
41	363802.7849
42	363720.4446
43	363655.5399
44	363599.9486
45	363544.0998
46	363482.4239
47	363435.577
48	363379.8461
49	363331.0869
50	363282.6217
51	363240.5655
52	363209.5518
53	363179.4627
54	363150.5059
55	363104.4878
56	363071.4824
57	363040.034
58	363020.094
59	362977.4892
60	362950.3183
61	362920.5057
62	362890.3158
63	362858.2036
64	362828.9722
65	362798.5632
66	362770.4613
67	362742.802
68	362718.3353
69	362700.1497
70	362662.0617
71	362638.5906
72	362619.3592
73	362594.894
74	362572.6915
75	362549.967
76	362528.1792
77	362502.4019
78	362483.3838
79	362458.4619
80	362446.9859
81	362434.1015
82	362408.4373
83	362384.872
84	362372.1003
85	362356.4228
86	362332.3264
87	362313.8276
88	362294.7689
89	362282.7724
90	362260.6098
91	362244.9039
92	362221.8822
93	362205.6909
94	362190.2354
95	362171.1928
96	362154.0928
97	362144.573
98	362133.974
99	362120.6682
100	362104.2084
101	362092.1534
102	362064.323
103	362034.0012
104	362018.5793
105	362005.1073
106	361977.7009
107	361953.2747
108	361922.6381
109	361904.0364
110	361888.1272
111	361865.4965
112	361843.6221
113	361824.887
114	361800.6374
115	361783.6041
116	361764.4336
117	361745.7594
118	361733.7187
119	361705.657
120	361690.386
121	361674.6319
122	361659.885
123	361647.8789
124	361641.6828
125	361630.3343
126	361612.0188
127	361589.7057
128	361572.8116
129	361555.0643
130	361531.6847
131	361511.6602
132	361494.8156
133	361481.4596
134	361460.4762
135	361434.5173
136	361418.017
137	361390.662
138	361371.486
139	361357.0623
140	361342.6988
141	361325.8502
142	361301.1403
143	361281.2736
144	361272.4594
145	361249.8956
146	361238.5226
147	361215.2537
148	361192.9045
149	361171.491
150	361149.5171
151	361137.8567
152	361108.8655
153	361082.0809
154	361055.1544
155	361032.8453
156	361006.1157
157	360986.0341
158	360973.2178
159	360943.4128
160	360918.8647
161	360896.1262
162	360882.6846
