iter	Passed	Remaining
0	146	145986
1	161	80478
2	176	58756
3	191	47658
4	206	41109
5	221	36751
6	235	33472
7	249	30993
8	262	28901
9	275	27241
10	287	25862
11	301	24830
12	316	24013
13	330	23253
14	344	22604
15	356	21901
16	369	21368
17	384	20971
18	397	20509
19	410	20106
20	424	19792
21	439	19516
22	452	19216
23	468	19038
24	483	18866
25	498	18670
26	513	18492
27	529	18370
28	543	18196
29	560	18113
30	577	18055
31	593	17959
32	609	17845
33	622	17694
34	637	17583
35	652	17472
36	669	17422
37	685	17360
38	702	17304
39	718	17243
40	734	17175
41	748	17078
42	765	17033
43	779	16945
44	795	16891
45	813	16871
46	824	16720
47	839	16656
48	855	16606
49	870	16545
50	885	16484
51	902	16445
52	918	16415
53	933	16360
54	947	16282
55	964	16253
56	978	16196
57	994	16144
58	1007	16061
59	1019	15965
60	1036	15955
61	1050	15890
62	1064	15831
63	1078	15777
64	1092	15722
65	1108	15681
66	1121	15618
67	1134	15547
68	1146	15475
69	1160	15419
70	1173	15353
71	1186	15295
72	1198	15218
73	1212	15169
74	1225	15119
75	1239	15068
76	1253	15019
77	1266	14969
78	1280	14922
79	1292	14866
80	1305	14811
81	1318	14765
82	1332	14725
83	1348	14705
84	1362	14672
85	1377	14637
86	1392	14609
87	1406	14580
88	1421	14555
89	1430	14464
90	1445	14435
91	1460	14415
92	1475	14393
93	1488	14346
94	1502	14311
95	1517	14286
96	1531	14258
97	1546	14236
98	1563	14228
99	1578	14209
100	1593	14185
101	1608	14161
102	1625	14153
103	1639	14122
104	1654	14098
105	1669	14081
106	1684	14057
107	1698	14027
108	1712	14002
109	1727	13977
110	1742	13955
111	1756	13925
112	1770	13895
113	1783	13859
114	1797	13833
115	1809	13790
116	1823	13762
117	1836	13730
118	1849	13696
119	1863	13667
120	1877	13638
121	1891	13613
122	1904	13582
123	1920	13564
124	1934	13540
125	1949	13521
126	1963	13496
127	1978	13476
128	1992	13454
129	2008	13441
130	2023	13424
131	2040	13416
132	2055	13396
133	2069	13376
134	2085	13364
135	2100	13346
136	2115	13323
137	2129	13303
138	2143	13279
139	2158	13258
140	2172	13236
141	2186	13211
142	2202	13200
143	2218	13188
144	2232	13166
145	2248	13151
146	2261	13123
147	2278	13115
148	2293	13100
149	2308	13080
150	2324	13068
151	2336	13037
152	2351	13020
153	2367	13006
154	2383	12996
155	2397	12971
156	2412	12951
157	2427	12936
158	2440	12910
159	2454	12884
160	2471	12881
161	2488	12874
162	2503	12855
163	2517	12833
164	2532	12817
165	2547	12799
166	2562	12781
167	2577	12764
168	2593	12750
169	2606	12726
170	2622	12712
171	2636	12694
172	2651	12675
173	2665	12654
174	2680	12638
175	2697	12628
176	2712	12611
177	2727	12593
178	2740	12569
179	2754	12547
180	2770	12537
181	2784	12514
182	2800	12500
183	2816	12491
184	2832	12479
185	2847	12463
186	2863	12447
187	2877	12428
188	2892	12413
189	2907	12395
190	2922	12380
191	2935	12353
192	2949	12333
193	2963	12310
194	2978	12293
195	2993	12281
196	3009	12266
197	3024	12252
198	3041	12243
199	3057	12229
200	3073	12216
201	3089	12204
202	3103	12185
203	3117	12165
204	3134	12155
205	3148	12133
206	3161	12110
207	3176	12094
208	3190	12074
209	3207	12064
210	3222	12048
211	3236	12030
212	3250	12011
213	3265	11993
214	3279	11972
215	3293	11955
216	3308	11938
217	3323	11921
218	3338	11906
219	3353	11888
220	3367	11868
221	3381	11849
222	3396	11832
223	3409	11810
224	3424	11794
225	3439	11780
226	3456	11770
227	3470	11750
228	3483	11729
229	3498	11711
230	3512	11693
231	3528	11679
232	3543	11665
233	3556	11641
234	3570	11621
235	3585	11606
236	3598	11583
237	3612	11565
238	3626	11546
239	3640	11528
240	3655	11512
241	3669	11494
242	3684	11478
243	3701	11467
244	3716	11454
245	3732	11439
246	3748	11426
247	3763	11411
248	3776	11390
249	3791	11374
250	3805	11357
251	3820	11340
252	3834	11320
253	3847	11300
254	3862	11284
255	3877	11270
256	3891	11251
257	3906	11234
258	3919	11214
259	3932	11193
260	3948	11179
261	3963	11165
262	3979	11151
263	4011	11183
264	4028	11174
265	4041	11152
266	4055	11133
267	4070	11117
268	4085	11101
269	4099	11084
270	4114	11069
271	4129	11053
272	4145	11039
273	4160	11024
274	4176	11009
275	4191	10996
276	4206	10978
277	4220	10961
278	4235	10945
279	4250	10928
280	4264	10911
281	4279	10896
282	4295	10883
283	4310	10866
284	4324	10849
285	4338	10830
286	4353	10814
287	4367	10797
288	4382	10781
289	4395	10761
290	4410	10746
291	4425	10729
292	4440	10713
293	4455	10700
294	4470	10684
295	4484	10666
296	4498	10648
297	4514	10635
298	4529	10618
299	4544	10604
300	4560	10589
301	4574	10572
302	4589	10556
303	4605	10544
304	4618	10524
305	4632	10506
306	4645	10487
307	4659	10468
308	4673	10451
309	4688	10436
310	4703	10419
311	4717	10402
312	4732	10387
313	4746	10370
314	4763	10358
315	4778	10342
316	4792	10326
317	4807	10309
318	4822	10294
319	4837	10278
320	4853	10266
